address,orientation,distance_m
40 STRATHALLEN AVENUE,North,771.07
42 STRATHALLEN AVENUE,North,757.4
43 STRATHALLEN AVENUE,North,801.41
45 STRATHALLEN AVENUE,North,787.34
47 STRATHALLEN AVENUE,North,773.48
5 STRATHALLEN AVENUE,North,1016.17
57 STRATHALLEN AVENUE,North,701.79
6 STRATHALLEN AVENUE,North,1042.16
"UNIT 1, 60 STRATHALLEN AVENUE",North-West,657.21
54-58A FRENCHS ROAD,North,877.55
71 KAMERUKA ROAD,North,232.59
75 KAMERUKA ROAD,North,269.26
77 KAMERUKA ROAD,North,270.29
78 KAMERUKA ROAD,North,331.53
79 KAMERUKA ROAD,North,265.13
8 KAMERUKA ROAD,North-West,225.24
81 KAMERUKA ROAD,North,277.76
83 KAMERUKA ROAD,North,281.92
84 KAMERUKA ROAD,North,329.02
89 KAMERUKA ROAD,North,285.72
9 KAMERUKA ROAD,South,208.7
91 KAMERUKA ROAD,North,297.08
92 KAMERUKA ROAD,North,335.34
95 KAMERUKA ROAD,North,311.21
98 KAMERUKA ROAD,North,352.15
45 BROMBOROUGH ROAD,West,3841.06
48 BROMBOROUGH ROAD,West,3868.49
49 BROMBOROUGH ROAD,West,3883.74
"UNIT 11, 180 PACIFIC HIGHWAY",West,3629.16
"UNIT 12, 180 PACIFIC HIGHWAY",West,3629.16
"UNIT 15, 180 PACIFIC HIGHWAY",West,3629.16
"UNIT 16, 180 PACIFIC HIGHWAY",West,3629.16
"UNIT 17, 180 PACIFIC HIGHWAY",West,3629.16
11 KING EDWARD STREET,North,2234.34
12 KING EDWARD STREET,West,2290.93
"UNIT 4, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 6, 174 PACIFIC HIGHWAY",West,3577.74
"UNIT 7, 174 PACIFIC HIGHWAY",West,3577.74
20 VICTORIA STREET,West,2895.28
21 VICTORIA STREET,West,2866.43
7 PARADISE AVENUE,West,2545.61
8 PARADISE AVENUE,West,2506.3
1 PARK AVENUE,North,2699.18
11 PARK AVENUE,North,2649.01
12 PARK AVENUE,North,2716.73
14 PARK AVENUE,North,2711.46
22 LUXOR PARADE,North,3051.61
28 LUXOR PARADE,North,3017.01
14 CALGA STREET,North,1976.34
17 CALGA STREET,North,2016.45
21 CALGA STREET,North,2046.87
22 GRIFFITH AVENUE,North,2194.31
27 GRIFFITH AVENUE,North,2180.36
28 GRIFFITH AVENUE,North,2291.09
3 GRIFFITH AVENUE,North,1952.66
32 GRIFFITH AVENUE,North,2298.47
34 GRIFFITH AVENUE,North,2310.23
35 GRIFFITH AVENUE,North,2236.96
37 GRIFFITH AVENUE,North,2237.66
39 GRIFFITH AVENUE,North,2239.25
48 BABBAGE ROAD,North,2370.83
49 BABBAGE ROAD,North,2504.13
5 BABBAGE ROAD,North,2294.87
56 BABBAGE ROAD,North,2268.49
"UNIT 39, 5-17 PACIFIC HIGHWAY",West,3013.95
